family,variant,pipeline,runs,offline_failure_rate,online_failure_rate,total_objective_mean,total_objective_std,total_objective_sem,total_objective_ci95,offline_obj_mean,offline_obj_std,offline_obj_ci95,online_cost_mean,online_cost_std,online_cost_ci95,offline_runtime_mean,offline_runtime_std,online_runtime_mean,online_runtime_std,offline_fallback_mean,offline_fallback_ci95,online_fallback_mean,online_fallback_ci95,final_fallback_mean,final_fallback_ci95
baseline_ab,baseline_B,MILP+CostAwareBestFit,30,0.0,0.0,373.2667134574139,6.794424681644133,1.2404865544687829,2.431353646758814,68.28688532395272,1.4907032999901273,0.5334413249819625,304.9798281334612,6.211717435153888,2.2228345365868534,0.007216421763102213,0.0017618089876305092,0.06183005423129847,0.0027614713569583927,0.0,0.0,0.0,0.0,0.0,0.0
baseline_ab,baseline_B,MILP+NextFit,30,0.0,1.0,222.38884106122072,39.89590943260703,7.283963182807334,14.276567838302373,68.28688532395272,1.4907032999901273,0.5334413249819625,154.10195573726796,39.89755849880053,14.277157949061,0.007194622357686361,0.0017380553752283866,0.0006411347538232803,0.00015651574563249737,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_A,BFD+BestFit,30,0.0,0.0,895.1908235424013,27.78518720930429,5.072857933013325,9.942801548706118,182.52827786623195,10.850166499279371,3.8826822169702195,712.6625456761695,22.235457321933982,7.956856213755547,0.0006378125865012408,3.7869054194801986e-05,0.004605451373693844,0.0002311445133718802,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_A,BFD+NextFit,30,0.0,1.0,419.3552250250595,80.29543532380498,14.65987373051504,28.73335251180948,182.52827786623195,10.850166499279371,3.8826822169702195,236.82694715882747,80.96290219755767,28.972202465062118,0.0006026639913519223,2.5439643959472025e-05,0.00095883475150913,0.0003087901186652403,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_A,CostAwareBFD+CostAwareBestFit,30,0.0,0.0,372.4996635108995,6.352730928297337,1.1598446770630617,2.273295567043601,69.4320722794819,1.8251681622504674,0.6531280388204889,303.06759123141757,5.134804010515594,1.8374660168192247,0.0007089512733121713,1.5123620378558431e-05,0.06346576102854064,0.003329075814197712,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_A,FFD+BestFit,30,0.0,0.0,894.34893448731,25.326662807476936,4.6239948419940795,9.063029890308396,181.47685831916866,12.55173013804775,4.491578945119775,712.8720761681411,17.981284716388714,6.434520098031468,0.00010309172018120686,6.687758597281098e-06,0.004648095796195169,0.0002623302531684237,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_A,FFD+NextFit,30,0.0,1.0,490.1146758667083,87.10901766702571,15.903857979448674,31.1715616397194,181.47685831916866,12.55173013804775,4.491578945119775,308.63781754753967,89.40990027178971,31.994921905522386,0.0001019875363757213,1.064986458288076e-05,0.0009300278034061193,0.0002863517242020249,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_A,MILP(BFD-warm)+BestFit,30,0.0,0.0,787.5270221535017,21.576351703881667,3.939284845627005,7.72099829742893,68.99494042113754,1.6518423597473446,0.5911041969591071,718.5320817323642,21.637378454426905,7.742836439647043,0.014274152119954427,0.0017403431692237048,0.004639038909226656,0.00025780914233012827,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_A,MILP(BFD-warm)+CostAwareBestFit,30,0.0,0.0,371.5879189600007,6.414280915043409,1.1710821157813842,2.295320946931513,68.99494042113754,1.6518423597473446,0.5911041969591071,302.5929785388632,5.289271089849974,1.8927413512648996,0.014386272430419922,0.002470526291089725,0.06240050978182505,0.003220549212607016,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_A,MILP+BalancedPrice,30,0.0,0.0,371.5879189600007,6.414280915043409,1.1710821157813842,2.295320946931513,68.99494042113754,1.6518423597473446,0.5911041969591071,302.5929785388632,5.289271089849974,1.8927413512648996,0.011818877855936686,0.004651396869348408,0.03276570690795779,0.0004119138694413641,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_A,MILP+BestFit,30,0.0,0.0,787.5270221535017,21.576351703881667,3.939284845627005,7.72099829742893,68.99494042113754,1.6518423597473446,0.5911041969591071,718.5320817323642,21.637378454426905,7.742836439647043,0.011089523633321127,0.001815723419620509,0.004673162444184224,0.0002786326206539642,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_A,MILP+CostAwareBestFit,30,0.0,0.0,371.5879189600007,6.414280915043409,1.1710821157813842,2.295320946931513,68.99494042113754,1.6518423597473446,0.5911041969591071,302.5929785388632,5.289271089849974,1.8927413512648996,0.010975130399068196,0.0018212390245551798,0.06353633039010068,0.006233717544978089,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_A,MILP+NextFit,30,0.0,1.0,288.58190716828983,68.62846695964225,12.529786480264683,24.558381501318777,68.99494042113754,1.6518423597473446,0.5911041969591071,219.5869667471522,69.12378002305667,24.735627004720033,0.010706806182861328,0.0016520321965363296,0.000892237457446754,0.00023150191102618744,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_B,BFD+BestFit,30,0.0,0.0,905.9257021362341,28.766802380921337,5.2520755237746455,10.294068026598305,181.56746490607966,8.178506241269746,2.9266408719596155,724.3582372301547,26.237302659144426,9.388898176142403,0.0006320943823084236,2.6267050410593286e-05,0.004617545839088659,0.0001568678357717939,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_B,BFD+NextFit,30,0.0,1.0,365.41926093074926,58.97972116226472,10.768174571979067,21.10562216107897,181.56746490607966,8.178506241269746,2.9266408719596155,183.8517960246698,58.16094840783714,20.81262809379283,0.0006306889466941356,3.256533437143046e-05,0.0007425999191279213,0.000236378307309763,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_B,CostAwareBFD+CostAwareBestFit,30,0.0,0.0,365.44104367652113,4.586349893967478,0.8373490978458048,1.6412042317777773,68.31465420680165,1.4862673317093977,0.5318539341193635,297.1263894697196,3.9535765931179125,1.4147692141450683,0.0007262569774563114,1.6108445377527805e-05,0.057764844363555314,0.008938183000759355,0.0,0.0,0.0,0.0,0.0,0.0
capacity_regimes,slack_B,FFD+BestFit,30,0.0,0.0,891.9411223216842,26.9151784563965,4.914016793281814,9.631472914832354,173.93899992443212,8.663802597578654,3.1003019427575786,718.0021223972519,24.683590522314915,8.832909428471169,7.568613315622012e-05,6.9240859002331005e-06,0.004603344419350227,0.00015853864872358343,0.0,0.0,0.0,0.0,0.0,0.0
